accession	status	symbol	title
XM_015470009.1	suppressed	LOC104976251	PREDICTED: Bos taurus protein sidekick (LOC104976251), transcript variant X3, mRNA
XM_015470010.1	suppressed	LOC100336558	PREDICTED: Bos taurus protein FAM118B (LOC100336558), mRNA
XM_015470011.1	suppressed	LOC104976252	PREDICTED: Bos taurus kin of IRRE-like protein 3 (LOC104976252), mRNA
XM_015470012.1	suppressed	LOC107133421	PREDICTED: Bos taurus collagen alpha-1(I) chain-like (LOC107133421), mRNA
XM_015470013.1	suppressed	IGSF9B	PREDICTED: Bos taurus immunoglobulin superfamily member 9B (IGSF9B), transcript variant X2, mRNA
XM_015470015.1	suppressed	LOC107131968	PREDICTED: Bos taurus uncharacterized LOC107131968 (LOC107131968), mRNA
XM_015470016.1	suppressed	LOC613739	PREDICTED: Bos taurus pregnancy-associated glycoprotein 2 (LOC613739), mRNA
XM_015470018.1	suppressed	LOC783673	PREDICTED: Bos taurus pregnancy-associated glycoprotein 1-like (LOC783673), mRNA
XM_015470019.1	suppressed	LOC784867	PREDICTED: Bos taurus pregnancy-associated glycoprotein 1-like (LOC784867), mRNA
XM_015470020.1	suppressed	LOC504812	PREDICTED: Bos taurus pregnancy-associated glycoprotein 1 (LOC504812), mRNA
XM_015470021.1	suppressed	NFRKB	PREDICTED: Bos taurus nuclear factor related to kappaB binding protein (NFRKB), transcript variant X3, mRNA
XM_015470022.1	suppressed	LOC101907048	PREDICTED: Bos taurus suppressor of tumorigenicity 14 protein homolog (LOC101907048), mRNA
XM_015470023.1	suppressed	ZBTB44	PREDICTED: Bos taurus zinc finger and BTB domain containing 44 (ZBTB44), transcript variant X2, mRNA
XM_015470024.1	suppressed	MS4A10	PREDICTED: Bos taurus membrane spanning 4-domains A10 (MS4A10), mRNA
XM_015470025.1	suppressed	PTGDR2	PREDICTED: Bos taurus prostaglandin D2 receptor 2 (PTGDR2), mRNA
XM_015470027.1	suppressed	CD6	PREDICTED: Bos taurus CD6 molecule (CD6), transcript variant X4, mRNA
XM_015470028.1	suppressed	LOC614287	PREDICTED: Bos taurus pregnancy-associated glycoprotein 1 (LOC614287), partial mRNA
XM_015470029.1	suppressed	LOC617765	PREDICTED: Bos taurus pregnancy-associated glycoprotein (LOC617765), mRNA
XM_015470030.1	suppressed	SYT7	PREDICTED: Bos taurus synaptotagmin 7 (SYT7), transcript variant X3, mRNA
XM_015470031.1	suppressed	INCENP	PREDICTED: Bos taurus inner centromere protein (INCENP), mRNA
XM_015470032.1	suppressed	MYRF	PREDICTED: Bos taurus myelin regulatory factor (MYRF), transcript variant X15, mRNA
XM_015470033.1	suppressed	FADS1	PREDICTED: Bos taurus fatty acid desaturase 1 (FADS1), transcript variant X1, mRNA
XM_015470034.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X1, mRNA
XM_015470035.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X2, mRNA
XM_015470036.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X3, mRNA
XM_015470037.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X4, mRNA
XM_015470038.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X5, mRNA
XM_015470039.1	suppressed	AHNAK	PREDICTED: Bos taurus AHNAK nucleoprotein (AHNAK), transcript variant X6, mRNA
XM_015470040.1	suppressed	LOC532368	PREDICTED: Bos taurus solute carrier family 22 member 9 (LOC532368), transcript variant X1, mRNA
XM_015470046.1	suppressed	LOC536947	PREDICTED: Bos taurus pregnancy-associated glycoprotein 1-like (LOC536947), mRNA
XM_015470047.1	suppressed	LOC107131973	PREDICTED: Bos taurus HRAS-like suppressor 2 (LOC107131973), mRNA
XM_015470048.1	suppressed	LOC614402	PREDICTED: Bos taurus HRAS-like suppressor 3 (LOC614402), mRNA
XM_015470049.1	suppressed	LOC100336631	PREDICTED: Bos taurus HRAS-like suppressor 3 (LOC100336631), mRNA
XM_015470051.1	suppressed	C29H11orf95	PREDICTED: Bos taurus chromosome 29 open reading frame, human C11orf95 (C29H11orf95), transcript variant X2, mRNA
XM_015470052.1	suppressed	PPP1R14B	PREDICTED: Bos taurus protein phosphatase 1 regulatory inhibitor subunit 14B (PPP1R14B), transcript variant X2, mRNA
XM_015470053.1	suppressed	SLC22A12	PREDICTED: Bos taurus solute carrier family 22 (organic anion/urate transporter), member 12 (SLC22A12), mRNA
