	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
105239	-0.0002503838321787423	-0.0001470308048171359	0.00011443845673690347	0.00026146926155403935	Rnf44	neither	1.7390244938788797
14675	0.00015108728883515962	-0.0001429633380197715	-6.197939847269943e-05	8.098393954707208e-05	Gna14	neither	-2.4713147058271705
76261	-0.0033673938337737755	-0.0001426712308697954	0.0004014799444242526	0.000544151175294048	0610040J01Rik	neither	0.2616957675158714
17930	0.0005938628757678994	-0.0001420697459590303	0.00028224354064594636	0.0004243132866049767	Myom2	neither	-0.48825689188922
13131	0.0002426752484083481	-0.00014129352732321086	-0.00013308298076214337	8.210546561067487e-06	Dab1	neither	-1.4648676175798114
211228	-0.0012732265558844107	-0.000140818482665979	-0.00029984934992916256	-0.00015903086726318355	Lrrc25	neither	0.15313989665568456
14183	0.0006808373663003875	-0.00014029960816028413	0.0001600354391843084	0.00030033504734459254	Fgfr2	neither	-0.4871266997193266
67603	0.0006829025897217594	-0.0001393729921264171	0.000402506173940313	0.0005418791660667301	Dusp6	neither	-0.6216262597568969
12850	0.0047198795459725	-0.00013881678247853633	-0.0019692022388464042	-0.0018303854563678679	Coq7	neither	-0.07134400167986375
104885	-0.00020944393941065974	-0.00013798408806612838	-0.00012156987300756353	1.641421505856485e-05	Tmem179	neither	1.1519854761999566
233875	-0.002846962512174834	-0.00013600362041020465	0.0006372250865126201	0.0007732287069228248	Ino80e	neither	0.18253602346843756
70381	-0.0004833433871135868	-0.00013519768946182372	-0.00011861214296264997	1.6585546499173746e-05	Tecpr1	neither	0.5956408528631502
16847	-0.0005886061180659717	-0.00013366346789768065	-0.00016288836768707976	-2.9224899789399107e-05	Lepr	neither	0.7977720735527647
12810	-0.0010220540775802939	-0.000132745162005012	-0.0014543451331720054	-0.0013215999711669935	Coch	neither	0.1401316595419209
64424	-0.00011631634060772519	-0.00012969223743483703	-5.239622287616172e-05	7.729601455867531e-05	Polr1e	neither	3.1245112132107975
106572	0.0007015554977154152	-0.000129079872749067	-5.736747680396085e-05	7.171239594510614e-05	Rab31	neither	-0.44907284495973204
20516	0.00045040893056799534	-0.00012798064486838165	-0.0003703175403896644	-0.00024233689552128273	Slc20a2	neither	-0.6052642333686552
57738	0.00020400854249046977	-0.00012779379550511847	-3.563649758940984e-05	9.215729791570863e-05	Slc15a2	neither	-1.2127793130988285
78619	-0.004067467382231013	-0.00012627669246948316	0.0005000911470716962	0.0006263678395411794	Zfp449	neither	0.14440713633082292
20447	0.00039706783157681584	-0.00012011141831190174	-3.832519807291139e-05	8.178622023899035e-05	St6galnac3	neither	-0.5481179961730637
75590	-0.002817528104810045	-0.00011815046190911179	-0.0016558482225242008	-0.001537697760615089	Dusp9	neither	-0.028220556565786658
268395	0.0004937824593092552	-0.00011512873812597924	-8.968543659099379e-05	2.544330153498545e-05	Mpg	neither	-0.42813924685407134
234214	0.00014537526126626619	-0.00011259028992563868	-3.079428181181523e-05	8.179600811382344e-05	Sorbs2	neither	-1.967592342157312
67422	-0.011793674716698491	-0.00011086724628326416	0.00587279873430958	0.005983665980592845	Dhdds	neither	0.10350175672938366
22381	0.001803168623991107	-0.00010706946795364487	0.0011609402637481618	0.0012680097317018066	Tceal9	neither	0.17892447370834966
22771	0.0008944978239577005	-0.00010589891027653965	0.0005479491440790851	0.0006538480543556248	Zic1	neither	-0.02178055507499446
118449	0.002505916646162973	-0.00010533182330503076	0.0014203086710016758	0.0015256404943067064	Synpo2	neither	-0.11770756264013574
236539	-0.00042276750549125633	-9.520633139271726e-05	0.00014783937870959676	0.00024304571010231403	Phgdh	neither	0.5215954011049818
70951	-0.0018968545611443056	-9.494726711035607e-05	-0.0004344896358385316	-0.0003395423687281755	Spata1	neither	0.17342256652724627
54486	-0.0001863647349927986	-9.073875260352038e-05	-4.230294182050684e-05	4.843581078301354e-05	Hpgds	neither	0.9744093950361631
228730	0.0051554452599604445	-9.022644773341046e-05	-0.0005347354300187099	-0.00044450898228529947	Kiz	neither	0.01357892850433345
232560	-0.004422133441321801	-9.020188106432322e-05	-0.001751279772404773	-0.0016610778913404498	Caprin2	neither	0.24262876094527291
52033	-0.0006454752461329082	-9.000267142157891e-05	0.00012391842262719514	0.00021392109404877403	Pbk	neither	0.5911416033283143
12805	0.0003790908710382799	-9.000013185087918e-05	-7.804394835164279e-05	1.1956183499236387e-05	Cntn1	neither	-0.5598870710063274
328365	-0.0011000386038156247	-8.775437138158994e-05	-0.00031528346261519937	-0.00022752909123360945	Zmiz1	neither	0.33885633580524566
270906	-0.00011453678482687733	-8.766858115488961e-05	-7.875700323992724e-05	8.911577914962369e-06	Prr11	neither	2.301288406105077
17921	0.00041957226492865795	-8.528289874202831e-05	-3.9440978575207935e-05	4.5841920166820375e-05	Myo7a	neither	-0.4242261597881162
211798	0.00010062232310222396	-8.487478457106076e-05	-9.814475723727672e-06	7.506030884733309e-05	Mfsd9	neither	-0.757039635044343
16574	0.000904576697376702	-8.442030875458294e-05	0.00011022391119359027	0.00019464421994817323	Kif5c	neither	-0.09291800822507801
110962	0.002572725647133361	-8.384984642892976e-05	-0.0010611505721502545	-0.0009773007257213248	Mbd6	neither	-0.033597210213953684
20745	0.0003134318532035798	-8.259067024903072e-05	-0.00016688356607611583	-8.42928958270851e-05	Spock1	neither	-0.38444701176759194
77113	-0.005293826957748966	-8.218536903594702e-05	-7.395785255374048e-05	8.227516482206545e-06	Klhl2	neither	0.16227227480010073
71819	-0.0008387531929798341	-8.174615164230539e-05	-1.2885200133230419e-05	6.886095150907497e-05	Kif23	neither	0.47530327210170153
13982	0.0006735497829876938	-8.1669524050608e-05	-7.275833819233253e-05	8.911185858275462e-06	Esr1	neither	-0.21312583586710962
19249	-0.0008694275196386948	-8.050815659632083e-05	-0.00014313347070609467	-6.262531410977384e-05	Ptpn13	neither	0.37801643027179865
77593	-0.002348327821359511	-8.038342714334394e-05	0.00027036784005160205	0.00035075126719494597	Usp45	neither	0.19238400510114864
243780	-0.002413974689890965	-7.731542798111023e-05	-0.00011395440717168234	-3.6638979190572115e-05	Dennd11	neither	0.28105751919183103
330286	-0.0015680286730329375	-7.648666276224285e-05	-0.00048501292099227046	-0.0004085262582300276	D630045J12Rik	neither	0.2601011071928146
80914	-0.0002823358093053254	-7.61773718163933e-05	0.00011398249647181506	0.00019015986828820836	Uck2	neither	0.9467024134323627
319901	0.001092037821022753	-7.467049336772444e-05	6.774563212708551e-05	0.00014241612549480994	Dsel	neither	-0.13398799286039717
56279	-0.0029393002027875634	-7.269481485091666e-05	0.0006185613133952194	0.000691256128246136	Dipk1b	neither	-0.22535496637058328
26556	-0.004092476982096645	-6.97695392750592e-05	-0.001038114188045232	-0.0009683446487701729	Homer1	neither	0.2038559078190209
140571	0.0007394878527404583	-6.862173479879116e-05	-0.0003179767641635522	-0.00024935502936476104	Plxnb3	neither	-0.1848192457063148
18150	-0.003491654126683023	-6.524372090413778e-05	0.001946957139832818	0.0020122008607369557	Npm3	neither	0.025986381768034764
53328	-0.0006008226618397634	-6.512717561490623e-05	-0.0003728016798361553	-0.00030767450422124903	Pgrmc1	neither	0.40444451637634266
70310	0.0003437419230341576	-6.480088912882306e-05	8.976358107262598e-05	0.00015456447020144906	Plscr3	neither	-0.2356520348561701
26949	0.0065651066948202545	-5.9698837386330236e-05	-0.002956331096482677	-0.0028966322590963465	Vat1	neither	-0.02377230979529492
20191	0.0005490107097410086	-5.890066404387309e-05	-2.2148806763547053e-05	3.675185728032604e-05	Ryr2	neither	-0.22549594092042138
14961	-0.002601815111443717	-5.8596080532581315e-05	-0.0017072600232151478	-0.0016486639426825664	H2-Ab1	neither	-0.09080579615869734
13844	-0.0007243386929802186	-5.85044852896798e-05	0.00023822676087571586	0.00029673124616539563	Ephb2	neither	0.052693956322340176
21828	5.3926414618514494e-05	-5.8250029238179335e-05	1.2856107852777702e-05	7.110613709095704e-05	Thbs4	neither	-1.350048111175653
407823	0.00032699593917818727	-5.563837175504381e-05	-5.1374631444686516e-05	4.263740310357291e-06	Baz2b	neither	-0.33657530226440135
66953	-0.002307060199367514	-5.5398019846446854e-05	-0.00037869098069362016	-0.0003232929608471733	Cdca7	neither	0.08873282260637846
12630	0.004555259909687711	-5.345404401434333e-05	0.00018029484251797523	0.00023374888653231857	Cfi	neither	0.06419747072244233
22062	6.567534754703616e-05	-5.3292432630845784e-05	-6.007354678661232e-05	-6.7811141557665334e-06	Trp73	neither	-1.632507149767907
14261	-0.00025972414327341117	-5.322407424276598e-05	-0.00013507715878915454	-8.185308454638856e-05	Fmo1	neither	0.3335236107861597
77411	-0.0004501266989311322	-5.192356403172931e-05	-0.00013127784250590134	-7.935427847417204e-05	Esrp2	neither	0.20080103945007075
12297	-0.0005263881594772674	-5.073922092316119e-05	3.987392423808946e-05	9.061314516125065e-05	Cacnb3	neither	0.31033011832828694
14687	-0.0004628390500750202	-4.808699923733853e-05	-9.721478987277812e-06	3.836552025006072e-05	Gnaz	neither	0.32165397312530875
14613	0.0008968215416116209	-4.691551940324595e-05	-0.00029430935214071793	-0.00024739383273747196	Gja5	neither	-0.22002937987773027
384214	-0.0014241812039370453	-4.6332975130491196e-05	-0.0003561291066283335	-0.00030979613149784233	Ephx4	neither	0.06823624900385378
23921	-6.370493650188129e-05	-4.481627864230142e-05	-1.078151636186407e-05	3.4034762280437346e-05	Sh2b2	neither	1.0832143119063504
14160	0.0007606719216915984	-4.380838920969858e-05	0.0003339665855014024	0.000377774974711101	Lgr5	neither	-0.1987399846815735
23948	-0.00026621061635766555	-4.361031563673997e-05	-0.00012904299943780362	-8.543268380106366e-05	Mmp17	neither	0.21199992497774858
218820	0.00020940426013648896	-4.108146055964769e-05	0.00012855053594833617	0.00016963199650798388	Zfp503	neither	-0.5498249100552306
22234	0.00901180607288917	-3.9876033235255106e-05	0.002365189352813747	0.0024050653860490023	Ugcg	neither	0.22380928893801527
20273	6.398431231755789e-05	-3.743130713717899e-05	-9.215091580818582e-06	2.821621555636041e-05	Scn8a	neither	-1.3234250935913259
11941	0.0006076751205491522	-3.68263159813694e-05	8.911735269401606e-06	4.573805125077101e-05	Atp2b2	neither	-0.06027288247420519
380863	4.49965439895278e-05	-3.57689937892219e-05	-1.2393962657604421e-05	2.337503113161748e-05	Tmem171	neither	-1.9303208432284542
546336	0.0002896886269916129	-3.3701230578452566e-05	1.3379683521797254e-05	4.708091410024982e-05	Prrg1	neither	-0.14484709114206648
171282	0.0005508338698102692	-3.320990524925377e-05	0.0001046878296562775	0.00013789773490553128	Acot4	neither	-0.09182391738177147
56700	-5.588172938799767e-05	-3.302096580578325e-05	-4.101538089386447e-05	-7.994415088081222e-06	Glmp	neither	1.6275720912321554
268481	0.001875469795240597	-3.2421358224835964e-05	-0.00015186749577246155	-0.00011944613754762559	Krt222	neither	-0.014847939857432374
237073	-0.0002278068740197252	-3.2387110964864826e-05	-5.4574817630432865e-05	-2.2187706665568038e-05	Rbm41	neither	0.3775876795685077
171463	-0.0001066027182789507	-3.118412028226132e-05	7.125196315622447e-06	3.830931659788377e-05	Il17rd	neither	0.9367512207052595
242700	0.00039769311053579364	-3.014720370778077e-05	-0.00021313076478196116	-0.0001829835610741804	Ifnlr1	neither	-0.20547627422866846
69066	4.92412002215819e-05	-2.7701939983856036e-05	-3.9179356965948864e-05	-1.1477416982092828e-05	1810010H24Rik	neither	-0.6931070406987898
238024	-0.0003832270511714303	-2.769898963542364e-05	-0.00019834505722590189	-0.00017064606759047824	Fn3krp	neither	0.12339178820761527
101565	0.0006445549746747451	-2.6351894155761855e-05	8.068437276460073e-06	3.442033143222193e-05	Ccp110	neither	0.028931500232363763
