	control	A485	A485+Dux	symbol
22381	-0.00010706946795364487	0.0011609402637481618	0.0016084882261393164	Tceal9
242700	-3.014720370778077e-05	-0.00021313076478196116	-0.00011243278403554306	Ifnlr1
12348	0.0014341639268257312	0.002095762963716915	0.0021915247134961886	Car11
207259	0.0003926004772509051	-0.0001387425519161463	0.0007838981466667738	Zbtb7c
76854	0.0	0.0	0.0	Gper1
74901	0.00015769103317316222	0.0001255419783036191	0.0003058146124751032	Kbtbd11
12190	0.0004393617379616846	-0.00014542721440122776	0.0006623259864751613	Brca2
74013	0.00027756159977210905	0.0002657155227287647	0.00039774436450564226	Rftn2
54609	0.0011010447778043353	-0.0011716630670612022	0.0017584102822107701	Ubqln2
329324	0.00013538534389233057	-7.0070613731552516e-06	8.782170737738156e-05	Syt14
231760	0.003959640359125885	0.001549991410797233	0.002667179991790756	Rimbp2
192232	0.0005891704113907847	0.0006376821844710636	0.0007401420670786389	Hps4
21339	-0.004300502876275895	0.0004005838676726297	-0.003099978725462711	Taf1a
12723	0.0	0.0	0.0	Clcn1
259302	0.0	0.0	0.0	Srgap3
76156	-0.0	-0.0	-0.0	Fam131b
20201	0.0	0.0	0.0	S100a8
11364	-0.0004331969022296297	0.0005476214093842249	0.00018760621890681495	Acadm
225998	0.005507188796992775	0.0016880962473575273	0.0032567479787933328	Rorb
68259	0.004324626033018892	-0.0008153920110048193	0.003212151280731051	Ift80
223864	-0.0022064871258314868	-0.0018227973092890407	-0.0016968842068315353	Rapgef3
19041	2.4017019950202525e-05	0.00014356052981606286	-2.47264955572283e-05	Ppl
66011	0.00033364440973164284	0.0012914922665128237	0.0003669042038252057	Ranbp17
72097	0.0005634459571353829	0.0005347324593891309	0.000370425980816166	Cracdl
229228	0.0007238874364661985	0.000607673493777196	0.0007107761211103182	Nudt6
230904	0.0	0.0	0.0	Fbxo2
215632	0.0	0.0	0.0	Psd4
225845	-0.0028597598996877344	-0.009354687197378106	-0.011604987230899722	Plaat3
13346	0.0	0.0	0.0	Des
52585	-0.0009282816491231718	-0.0009846169698381547	-0.0009146364962294756	Dhrs1
56177	-0.0002224521720965774	-0.00014601415613373824	-0.00020246027118099705	Olfm1
20274	-0.0	-0.0	-0.0	Scn9a
381101	-0.00950007617760263	-0.005264675724973111	-0.009064697165245474	Dnph1
94214	0.0	0.0	0.0	Spock2
268859	9.75771308179506e-05	0.00016166576027104284	0.00014937761338007366	Rbfox1
12286	0.0015372474621414762	0.003957148049007658	-0.0002769014965949016	Cacna1a
58206	-0.0015049791605280657	-0.00279140092308888	-0.00179770095811544	Zbtb32
29859	6.988628631872128e-05	3.986195573311669e-05	9.728883826113425e-05	Sult4a1
226098	0.0004041081859344412	0.00022372611879870955	0.0002617110993692014	Hectd2
57444	0.0003383995288229877	0.0013093439581443463	0.0010153298785635803	Isg20
245527	0.0021148050793869267	-0.002268025788150936	0.0026369182804809933	Eda2r
21384	0.0	0.0	0.0	Tbx15
19087	-0.0002336240839155889	-0.0002306469294481292	-0.0002882269714548343	Prkar2a
18121	-0.0	-0.0	-0.0	Nog
224093	0.00027040991758887114	0.0017063509207898245	0.0016457140433522857	Fam43a
26561	0.0	0.0	0.0	Mmp23
56213	0.002335461545565051	0.0025734154620258983	0.002802099196440935	Htra1
11568	0.0	0.0	0.0	Aebp1
73075	0.00033663526825697285	0.00026550550005053795	0.00031344338824028476	Ppil6
241494	-0.0005687717858374937	-0.0002965490617340193	-0.0005473090132830942	Zfp385b
68458	-0.0	-0.0	-0.0	Ppp1r14a
171463	-3.118412028226132e-05	7.125196315622447e-06	-1.778215953420471e-05	Il17rd
269855	0.0	0.0	0.0	Ssc5d
68801	0.0005067376420559095	-0.00032648780713382997	0.00022559046020006126	Elovl5
237211	0.0015928658770997855	0.0006020191052869957	0.0019201677454227506	Fancb
17984	-0.0	-0.0	-0.0	Ndn
211949	0.0014686432105774558	0.0018197963875190312	0.0027560477494336134	Spsb4
55963	0.0020655367115904114	0.0008021058655540041	0.002111685123610106	Slc1a4
56047	0.0006657398036201961	0.0007332048987205855	0.0007129821175107723	Msln
56399	0.004607924922360259	0.0029315575041079425	0.0052459800524858454	Akap8
16656	0.0005851948934097877	0.0012591848243212495	0.00015129215324934166	Hivep3
268860	0.002315914277817285	-4.6304081291772294e-05	-0.0014068268537951272	Abat
210044	-0.00017119293610611837	0.0002828220353195238	-0.0010948227740014513	Adcy2
14840	-0.0	-0.0	-0.0	Gsg1
14544	0.0009052922068184802	0.0002771060716696916	0.0005677780055065983	Gda
20656	-0.00018974119742389366	-0.0004405960037455263	-0.0003646840120419245	Sod2
231238	-0.0016891198630080248	0.0004368494316197809	-0.0002916033192267383	Sel1l3
72607	0.0018828724407964194	0.0005316420595849931	0.0014783833758551905	Usp13
19417	0.0007845996784031514	0.00036912216685850335	-0.0003208810682104902	Rasgrf1
23792	0.00012084850239515359	-0.0002615197982146084	9.781452912694161e-05	Adam23
71835	0.006043464049271651	0.006947230396181097	0.008983094082752626	Lancl2
433938	0.00024209301052101548	0.00014830696153416326	0.00029024600885973643	Mn1
15114	0.0	0.0	0.0	Hap1
109660	-0.0035351487129725275	-0.00211667667571397	-0.0011470080816304616	Ctrl
26411	-0.0021105651584587834	0.001007690168620903	-0.0035965015498959593	Map4k1
320557	-1.578946010450089e-05	0.0005995805168654102	-4.3512194605847814e-05	Fam169a
57746	0.0010607232354221084	0.000848778200754956	0.001150439542492501	Piwil2
20462	0.0018140010459129037	0.0019543478871899217	0.002171508698117357	Tra2b
16450	-0.005066930136699349	-0.005084698935703118	-0.006947959341755231	Jag2
21928	0.0	0.0	0.0	Tnfaip2
219114	-0.00042641499712151693	-0.00035087474680283007	-0.00038689487020747096	Ska3
100039795	0.0	0.0	0.0	Ildr2
242509	-0.006720658984098424	-0.002804936887137635	-0.005154414041657897	Bnc2
67168	-0.0003138042931357379	-0.0014602565299652662	-0.0023578775402942217	Lpar6
66528	-0.0	-0.0	-0.0	Smim5
72774	-0.0	-0.0	-0.0	Neil1
17433	-0.0	-0.0	-0.0	Mobp
108000	2.128868784860372e-05	1.677743177048426e-05	1.060897161454833e-05	Cenpf
214663	-0.0009764441048892016	0.0002306948989033768	-4.6632022689440215e-05	Slc25a29
