	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
2-cell_4	Cow	2-cell	5.923836493652519	4.0178677189635055	0.12393365417941365	-0.030230722891320408	0.37625443422045135	
2-cell_5	Cow	2-cell	6.2596889450500415	4.043087072166329	0.04640617099898601	-0.0729735937706524	0.295740610076357	
2-cell_6	Cow	2-cell	6.138503848365248	4.036549054479153	0.12502835772338763	-0.006349173353649588	0.20869570602351845	
2-cell_7	Cow	2-cell	6.299023269035383	4.045792232729559	0.07464131518435427	-0.010838361038197394	-0.21441573560474747	
2-cell_8	Cow	2-cell	6.1353136492301745	4.0338658673479	0.10044836429405923	-0.03955548764931909	0.04678041385150902	
2-cell_9	Cow	2-cell	6.294588781320581	4.038779069555538	0.07869415446353745	-0.0028256633305277015	0.16770722155109133	
4-cell_1	Cow	4-cell	6.2088942269787735	4.04233920456355	0.13424103184129726	-0.012224388849012682	0.41393732861568	
4-cell_10	Cow	4-cell	6.3765209331044925	4.0565237240791	0.10898970485541115	-0.022796012714330245	0.31580735538962146	
4-cell_11	Cow	4-cell	6.34769896007084	4.063671053930718	0.15487639030572448	0.0037871409627795345	0.1375220199930627	
4-cell_12	Cow	4-cell	6.549737996417438	4.0626195838543415	0.046223353282421206	0.009116387514096456	-0.5000067512333316	
4-cell_2	Cow	4-cell	6.174530789395812	4.039176084376041	0.22819245578599637	-0.07276144526344042	0.592556318267542	
4-cell_3	Cow	4-cell	6.153607877515881	4.0306806639999015	0.1073078166911341	0.02325866844722629	0.3165621965319564	
4-cell_4	Cow	4-cell	6.235982955714594	4.043872912391425	0.1225960393516897	-0.0008803183017196889	0.24303305765021777	
4-cell_5	Cow	4-cell	6.257763266031951	4.042023927248867	0.002362888468271332	-0.0018821727533675711	0.5804372265933926	
4-cell_6	Cow	4-cell	6.31858605280142	4.06707085604537	0.13716165323462634	0.04845238951131248	0.2041223987855892	
4-cell_7	Cow	4-cell	6.182439191376918	4.055493006677845	0.23996927918850636	0.08871285463849163	0.4892643617978156	
