	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
14580	0.008705907009214848	-0.004120570013034377	-0.005436922057596329	-0.001316352044561952	Gfap	neither	-0.6518857970738575
12525	0.006504697214896615	-0.004061396073662877	-0.0030439076052356405	0.0010174884684272367	Cd8a	neither	-0.6116280417181619
170799	0.00990143923142607	-0.004057696978286658	-0.005132016473798006	-0.001074319495511348	Rtkn2	neither	-0.849090145691101
18976	-0.009041123581672401	-0.004040089447248853	-0.005368234311407045	-0.001328144864158192	Pomc	neither	0.4067406691393514
74464	0.008964342968088875	-0.004033995103771471	-0.0033629273142446016	0.0006710677895268692	Zswim5	neither	-1.038520103075005
12294	0.009976578400957786	-0.0040243819870085015	-0.0021857701613994087	0.0018386118256090928	Cacna2d3	neither	-0.8506839411823784
381798	-0.003927844995955474	-0.004021685720897987	-0.0027823345575443362	0.0012393511633536506	4930590J08Rik	neither	1.843262787157791
16854	0.01364004924050753	-0.003991997363047123	0.005006175385250708	0.008998172748297832	Lgals3	neither	-0.068318534336184
76884	0.005173511269587684	-0.003985954816611056	-0.0023417723735573563	0.0016441824430536993	Cyfip2	neither	-1.9343751325385228
20692	-0.008796362598146795	-0.003985037404522541	0.0010622916124611952	0.005047329016983736	Sparc	neither	1.1894205509666769
76267	-0.011802504507989291	-0.0039774252078437836	-0.005604244751434869	-0.0016268195435910852	Fads1	neither	0.9454321422075364
13631	0.004415584683134162	-0.003972932079595924	-0.0024011389777150406	0.0015717931018808832	Eef2k	neither	-2.34850663432987
20893	0.00613952165157057	-0.003937695955707054	-0.0028101885332198345	0.0011275074224872195	Bhlhe40	neither	-1.5551097580150925
20371	0.006814279639115621	-0.003937065069301383	-0.005244655774394067	-0.0013075907050926839	Foxp3	neither	-0.8179972250545902
29877	0.008137944079622884	-0.003915151752040407	-0.0008392948645355466	0.0030758568875048605	Hdgfl3	neither	-0.5408336765918872
