Unnamed: 0	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
Day2_7	Pig	Day2	6.133759193076625	4.050225037883654	0.1201112122863692	0.0251766724376559	-0.1968312541916239	
Day2_8	Pig	Day2	5.988752428978017	4.034146977106046	0.0617336128458184	0.0299295307553456	0.1929203674331748	
Day3_1	Pig	Day3	5.855554285460269	4.04426529991532	0.2222036250584428	0.0210013140835256	-0.0921222871759113	
Day3_10	Pig	Day3	5.983064452807566	4.031892987710475	0.0569418049197117	0.0622838369296869	-0.4787407190154871	
Day3_11	Pig	Day3	5.930040288508853	4.018492453401473	0.1803524135627859	0.1687754052851227	-0.402475820175162	
Day3_12	Pig	Day3	5.902247181306144	4.012415374762433	-0.1711036359061374	0.0273335514236561	-0.8749024055299206	
Day3_2	Pig	Day3	5.986309882990602	4.022304622935069	-0.0176790987779519	-0.0906600404431626	-0.880671219342759	
Day3_3	Pig	Day3	5.82914418050188	4.022304622935069	-0.0429325212366523	0.0105021124320267	-0.6951092698855524	
Day3_4	Pig	Day3	6.135184827213185	4.019905199804614	0.0184984182095934	0.0610299617416911	-0.6227337000852852	
Day3_5	Pig	Day3	6.187574581292616	4.054459837239404	-0.0170582212181517	0.0932410483184572	-0.2006028392803704	
Day3_6	Pig	Day3	6.1134131895738495	4.040918650748524	0.0125931883576311	0.0214674574067094	-0.6235937645145575	
Day3_7	Pig	Day3	6.022468375577283	4.053501002386415	0.0938662926154808	-0.000547312414547	0.1690952651910435	
Day3_8	Pig	Day3	6.047974627530392	4.056409320649918	0.1098857348541775	0.0974004562660399	-0.0795757123803315	
Morula_1	Pig	Morula	6.187964940393698	4.054574755294823	-0.1281114267398747	0.0254186820272281	-0.8995049380890285	
Morula_10	Pig	Morula	6.123243856675679	4.048325250931222	-0.0583294784100191	-0.0920590679810434	-0.6529589523416786	
Morula_11	Pig	Morula	6.071828269240602	4.002986340856785	-0.1036363156383442	-0.0583766597063198	-1.3708673050724032	
Morula_12	Pig	Morula	6.126811712766874	4.02143739646709	-0.058042288171784	-0.0048113923781416	-0.8464595865001624	
Morula_2	Pig	Morula	6.064253523183186	4.04871363808097	-0.1799919258533214	0.0144183455464167	-0.6673000466174235	
Morula_3	Pig	Morula	6.130952599157675	4.056714329516394	-0.0119940397193674	-0.0158148333303563	-0.7198182748278025	
Morula_4	Pig	Morula	6.085587024865149	4.072948031792886	0.0262785685498179	0.0812689250546772	-0.002849066640079	
Morula_5	Pig	Morula	6.073972255921017	4.049256797232228	-0.0919776922852417	-0.0099450136927888	-0.8774377996633724	
Morula_6	Pig	Morula	5.97752378386472	4.025264892154508	-0.1911339227254052	-0.0435391446093689	-0.8062017019663061	
