entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
15370	Nr4a1	0.0095483123547723		not_expressed	0.0	0.0	0.0	0.0	0.0	
241452	Dhrs9	-0.0018107039539332		not_expressed	-0.0	-0.0	-0.0	-0.0	-0.0	
16511	Kcnh2	0.0004312124202089		not_expressed	0.0	0.0	0.0	-0.0002981125464499	-0.0002607107673501	-1.6515673403791125
71099	Tssk4	0.0039193624714234		not_expressed	0.0	0.0	0.0	0.0	0.0	
50779	Rgs6	-0.0041986589197836		not_expressed	-0.0	-0.0	-0.0	8.309029120200057e-05	0.0002706647091619	-0.2367657538183165
320100	Relt	0.0008554580175275		not_expressed	0.0	0.0	0.0	0.0004965363083629	0.0002618850061082	1.0208582338504633
53313	Atp2a3	0.0025818924958064		not_expressed	0.0	0.0	0.0	0.0	0.0	
97440	B3gnt9	0.0005329203965258		not_expressed	0.0	0.0	0.0	0.0001831639401805	0.0002792362139044	1.011858954292451
22412	Wnt9b	8.252951919150984e-06	-0.0162273122864591	neither	7.305616508069821e-07	1.3525754865833831e-06	5.4405327069613575e-06	3.548677688897245e-06	9.137183492203698e-06	0.971681436772532
22256	Ung	5.178410535622279e-05	0.1740490825493115	neither	1.478727457310622e-06	-3.229939233102943e-05	-1.579997705289518e-05	-7.536776390844989e-06	-1.0690619811521158e-05	-0.1298574859063136
20423	Shh	4.279915117566326e-05	0.1836189435527858	neither	4.6731981977286005e-06	1.011680933291673e-05	-8.554664289111696e-06	-2.924811459263746e-06	2.422795804282109e-05	0.0630688704031291
73327	Pradc1	-0.0003190136388396	-0.0746188446386119	neither	5.917961655584958e-06	0.0001712991927435	8.022988257450967e-05	-4.027143334392537e-05	5.703159536562602e-05	0.4882460851974585
76044	Ncapg2	0.0001552722847139	0.3358242151322169	neither	6.073368056763124e-06	3.875187161291594e-05	1.775734212871279e-05	1.6404693235187063e-05	3.602026078699092e-05	0.5221699259799305
223881	Rnd1	-1.21508841223099e-05	-0.9776412734801472	neither	6.298662458795136e-06	-1.8061321054520376e-06	2.043669269374097e-06	2.264537869607416e-07	-1.6315722483036328e-06	0.3054856921450634
66109	Tspan13	-9.34508188016716e-06	-1.7321837410807324	neither	6.478547392908356e-06	-4.907713844041926e-08	3.79879579781118e-06	4.389074470845479e-06	3.301224175812569e-06	-0.6203772926080808
268451	Rab11fip4	-6.570922396106152e-05	-0.201177461042338	neither	6.587486457178202e-06	1.8805705273581327e-05	1.1546599030781326e-05	3.757450291109862e-06	1.8314357257348174e-05	0.0246928436983425
16881	Lig1	9.316604164897052e-05	0.2612984004773939	neither	7.023920758260602e-06	1.2077264300039094e-05	1.184820403611248e-05	-1.5930974532594455e-05	-2.2709943949190435e-05	-0.3525825351140748
75564	Rsph9	-0.0001557378103562	-0.097170239956041	neither	7.461894186601939e-06	-4.934278747108114e-05	-0.0001383540052777	2.6549443710080013e-05	3.309568166955906e-05	-0.1555718495153998
17193	Mbd4	0.0002880967066578	0.1167499085118851	neither	7.899768723091616e-06	-1.9467547769302e-05	-1.848445449458752e-06	-3.972945255442099e-05	-3.4049921961467774e-05	-0.0620233271981701
235040	Atg4d	6.977697723967504e-06	1.8270460918964773	neither	9.656086755535045e-06	9.332268714701184e-07	5.424738982460323e-06	5.935657244285779e-06	7.249069098871575e-06	2.0088392422448558
327954	Dnah2	2.073028905506065e-05	1.1142355130170989	neither	1.138312499914791e-05	7.90272661981659e-06	9.380478149640124e-06	4.410795432384969e-06	3.1050401645315766e-06	0.8294916099892956
109674	Ampd2	-0.0003786813401396	-0.0748358118406555	neither	1.1478276338818325e-05	2.618975911832897e-05	0.000242617809613	6.630908510272389e-05	0.0001445644417869	-0.3148982551348236
83674	Cnnm1	2.4865615853220064e-05	0.5089998674713802	neither	1.1755264917421155e-05	1.5827647542954898e-05	8.234154849044626e-06	-6.210399169026843e-06	9.413082987063796e-06	-0.3673209344553836
20969	Sdc1	0.0002179221705485	0.2894320501619857	neither	1.268192603867735e-05	2.622507232942221e-05	4.462899387025342e-05	1.4378781209939123e-05	8.077802933222203e-06	0.3966399532693802
68567	Cgref1	0.0006420846529014	0.2452084530739051	neither	1.3050478229450332e-05	0.0003484470217466	3.382001522711832e-05	-0.0002735778555952	-0.0006594358799006	-0.2049654129801094
28240	Trpm2	-0.000131813148184	0.0633981656938886	neither	1.3067925012276176e-05	-0.0001066274036951	-6.03665663231926e-05	-2.1363997345785188e-05	-7.016158807171343e-05	0.3434630902938875
54710	Hs3st3b1	0.0001834912734954	0.1713365188684279	neither	1.3392240560949368e-05	-7.644837121618667e-06	-5.993890869971043e-07	-1.8669649491191237e-05	1.6870689767779602e-05	0.0949677320758965
56224	Tspan5	-0.000748891352223	0.0754644682290032	neither	1.3734124258939283e-05	2.5754240027745124e-05	2.9082688605877066e-05	-4.011227678484867e-05	-1.896440322880552e-05	0.3839256405416556
75141	Rasd2	4.605682886033847e-05	0.8190453478864997	neither	1.5570504281393033e-05	1.5749375423354152e-05	2.872510491182734e-05	2.343687886962936e-05	1.9169427106676444e-05	1.733197355281617
