dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE225056	Gate 1	Pig	4-cell_7	GSM7038213		4-cell		V0	oocytes of the same species	0.2403569416623746
GSE225056	Gate 1	Pig	4-cell_8	GSM7038214		4-cell		V0	oocytes of the same species	0.2203079180387647
GSE225056	Gate 1	Pig	4-cell_9	GSM7038215		4-cell		V0	oocytes of the same species	0.0050391383469349
GSE225056	Gate 1	Pig	Day2_1	GSM7038219		Day2		V0	oocytes of the same species	0.1132557012493017
GSE225056	Gate 1	Pig	Day2_10	GSM7038228		Day2		V0	oocytes of the same species	0.1541980784684944
GSE225056	Gate 1	Pig	Day2_11	GSM7038229		Day2		V0	oocytes of the same species	-0.0123871463179645
GSE225056	Gate 1	Pig	Day2_12	GSM7038230		Day2		V0	oocytes of the same species	0.1292373614660544
GSE225056	Gate 1	Pig	Day2_2	GSM7038220		Day2		V0	oocytes of the same species	0.1041133828919311
GSE225056	Gate 1	Pig	Day2_3	GSM7038221		Day2		V0	oocytes of the same species	0.1850993093257991
GSE225056	Gate 1	Pig	Day2_4	GSM7038222		Day2		V0	oocytes of the same species	0.0111003011894233
GSE225056	Gate 1	Pig	Day2_5	GSM7038223		Day2		V0	oocytes of the same species	0.1598930776210668
GSE225056	Gate 1	Pig	Day2_7	GSM7038225		Day2		V0	oocytes of the same species	0.1201112122863692
GSE225056	Gate 1	Pig	Day2_8	GSM7038226		Day2		V0	oocytes of the same species	0.0617336128458184
GSE225056	Gate 1	Pig	Day3_1	GSM7038231		Day3		V0	oocytes of the same species	0.2222036250584428
GSE225056	Gate 1	Pig	Day3_10	GSM7038239		Day3		V0	oocytes of the same species	0.0569418049197117
GSE225056	Gate 1	Pig	Day3_11	GSM7038240		Day3		V0	oocytes of the same species	0.1803524135627859
GSE225056	Gate 1	Pig	Day3_12	GSM7038241		Day3		V0	oocytes of the same species	-0.1711036359061374
GSE225056	Gate 1	Pig	Day3_2	GSM7038232		Day3		V0	oocytes of the same species	-0.0176790987779519
GSE225056	Gate 1	Pig	Day3_3	GSM7038233		Day3		V0	oocytes of the same species	-0.0429325212366523
GSE225056	Gate 1	Pig	Day3_4	GSM7038234		Day3		V0	oocytes of the same species	0.0184984182095934
